模型名,MAE,MSE,R²
人工神经网络模型（总价预测）,0.5015347363671157,0.45852378905764,0.4436573096445289
人工神经网络模型（均价预测）,0.5925245098368509,0.6949786681359311,-0.5834661729463204
随机森林模型（总价预测）,0.01386247546104159,0.0024058525569625954,0.9970808963109853
随机森林模型（均价预测）,0.004462802684530378,0.00037292569359486695,0.9991503117319933
决策树模型（总价预测）,0.028119840972659,0.01690804363356201,0.9794848888798633
决策树模型（均价预测）,0.0038018166240299752,0.0003073406304799049,0.9992997432665923
梯度提升树模型（总价预测）,0.01225895251123478,0.0012023740194318348,0.9985411182303997
梯度提升树模型（均价预测）,0.002799523223162596,0.0002284866958206953,0.9994794071093279
